Title,Publisher,Genre,Year,Rating,Console,MaxPlayers,AvgHoursToFinish,Sales,ReviewScore
Puyo Pop Fever,Sega,"Action,Strategy",2004,E,Nintendo DS,1,2.5,0.04,76
Sprung,Ubisoft,Adventure,2004,E,Nintendo DS,1,17.75,0.06,48
Asphalt: Urban GT,Ubisoft,"Racing / Driving,Simulation",2004,E,Nintendo DS,1,12.4,0.11,60
Polarium,Nintendo,Strategy,2004,E,Nintendo DS,1,6.73,0.12,73
Ridge Racer DS,Namco,Racing / Driving,2004,E,Nintendo DS,1,2.23,0.15,63
Spider-Man 2,Activision,Action,2004,E,Nintendo DS,1,13.25,0.45,61
WarioWare Touched!,Nintendo,"Action,Racing / Driving,Sports",2004,E,Nintendo DS,2,4.57,0.54,81
Super Mario 64 DS,Nintendo,Action,2004,E,Nintendo DS,1,22.72,4.69,85
Mega Man Battle Network 5: Double Team DS,Capcom,"Action,Role-Playing (RPG)",2005,E,Nintendo DS,1,36.23,0.06,68
Nanostray,THQ,Action,2005,E,Nintendo DS,1,1.43,0.06,71
Scooby-Doo! Unmasked,THQ,Action,2005,E,Nintendo DS,1,8,0.08,60
Viewtiful Joe: Double Trouble!,Capcom,Action,2005,E,Nintendo DS,1,5.17,0.08,73
Battles of Prince of Persia,Ubisoft,Strategy,2005,E,Nintendo DS,1,8.5,0.09,64
Ford Racing 3,,"Action,Racing / Driving",2005,E,Nintendo DS,1,7.1,0.1,49
Bomberman,Ubisoft,Strategy,2005,E,Nintendo DS,1,3.33,0.11,75
Madden NFL 06,EA,Sports,2005,E,Nintendo DS,1,3.75,0.12,66
Dragon Ball Z: Supersonic Warriors 2,Atari,Action,2005,E,Nintendo DS,1,15.08,0.13,66
Spyro: Shadow Legacy,,Role-Playing (RPG),2005,E,Nintendo DS,1,4,0.15,50
Burnout Legends,EA,"Action,Racing / Driving",2005,E,Nintendo DS,1,12.83,0.16,38
Meteos,Nintendo,Strategy,2005,E,Nintendo DS,1,17.27,0.16,88
Shrek SuperSlam,Activision,Action,2005,E,Nintendo DS,1,1.22,0.18,56
Tony Hawk's American Sk8land,Activision,Sports,2005,E,Nintendo DS,1,18.8,0.21,84
Metroid Prime Pinball,Nintendo,"Action,Simulation",2005,E,Nintendo DS,1,5.57,0.22,79
Need for Speed: Most Wanted,EA,Racing / Driving,2005,E,Nintendo DS,1,14.6,0.25,45
Pokmon Trozei!,Nintendo,Strategy,2005,E,Nintendo DS,1,3.23,0.26,74
Madagascar,Activision,Adventure,2005,E,Nintendo DS,1,6.68,0.27,66
Star Wars: Episode III - Revenge of the Sith,Ubisoft,Action,2005,E,Nintendo DS,1,5.1,0.28,73
SpongeBob SquarePants: The Yellow Avenger,THQ,Action,2005,E,Nintendo DS,1,11.85,0.31,67
Phoenix Wright: Ace Attorney,Capcom,"Adventure,Simulation",2005,E,Nintendo DS,1,19.68,0.38,81
Clubhouse Games,Nintendo,Strategy,2005,E,Nintendo DS,1,20,0.61,83
Mario & Luigi: Partners in Time,Nintendo,"Action,Role-Playing (RPG)",2005,E,Nintendo DS,1,19.67,0.75,86
Sonic Rush,Sega,Action,2005,E,Nintendo DS,1,7.92,1.2,82
Big Brain Academy,Nintendo,Action,2005,E,Nintendo DS,1,9.17,1.77,74
Brain Agey: More Training in Minutes a Day!,Nintendo,Action,2005,E,Nintendo DS,1,13.25,3.65,77
Nintendogs,Nintendo,Simulation,2005,E,Nintendo DS,1,39.38,9.72,83
Mario Kart DS,Nintendo,Racing / Driving,2005,E,Nintendo DS,1,10.42,9.99,91
Tenchu: Dark Secret,Nintendo,Action,2006,E,Nintendo DS,1,7.1,0.02,37
SBK: Snowboard Kids,,"Action,Sports",2006,E,Nintendo DS,1,6.32,0.02,63
MechAssault: Phantom War,,Action,2006,E,Nintendo DS,1,7.5,0.03,66
Tao's Adventure: Curse of the Demon Seal,Konami,Role-Playing (RPG),2006,E,Nintendo DS,1,45,0.04,50
Bomberman Land Touch!,,Action,2006,E,Nintendo DS,1,16.42,0.04,78
Cartoon Network Racing,,Racing / Driving,2006,E,Nintendo DS,1,14.87,0.05,55
Lara Croft Tomb Raider: Legend,Eidos,"Action,Racing / Driving",2006,E,Nintendo DS,1,9.15,0.05,58
Guilty Gear: Dust Strikers,,Action,2006,E,Nintendo DS,1,0.32,0.05,60
Worms: Open Warfare,THQ,"Action,Strategy",2006,E,Nintendo DS,1,9.12,0.05,64
Gunpey DS,Namco,Strategy,2006,E,Nintendo DS,1,8,0.05,70
Contact,,"Adventure,Role-Playing (RPG)",2006,E,Nintendo DS,1,15.6,0.07,73
Justice League Heroes,,Action,2006,E,Nintendo DS,1,10.37,0.08,43
Digimon World DS,Namco,Role-Playing (RPG),2006,E,Nintendo DS,1,30.65,0.08,49
X-Men: The Official Game,Activision,Action,2006,E,Nintendo DS,1,11.88,0.1,50
Magical Starsign,Nintendo,Role-Playing (RPG),2006,E,Nintendo DS,1,28.97,0.1,69
Resident Evil: Deadly Silence,Capcom,Action,2006,E,Nintendo DS,1,6.9,0.1,71
Eragon,,"Action,Role-Playing (RPG)",2006,E,Nintendo DS,1,8.83,0.14,63
Master of Illusion,Nintendo,Strategy,2006,E,Nintendo DS,1,4.1,0.14,69
Children of Mana,"Nintendo,SquareEnix","Action,Role-Playing (RPG)",2006,E,Nintendo DS,1,22.55,0.16,65
Phoenix Wright: Ace Attorney - Justice for All,Capcom,"Adventure,Simulation",2006,E,Nintendo DS,1,18.83,0.17,76
Pirates of the Caribbean: Dead Man's Chest,,Action,2006,E,Nintendo DS,1,2.68,0.24,63
Over the Hedge,Activision,Adventure,2006,E,Nintendo DS,1,7.22,0.26,71
Avatar: The Last Airbender,THQ,Action,2006,E,Nintendo DS,1,4.75,0.3,64
Metroid Prime: Hunters,Nintendo,Action,2006,E,Nintendo DS,1,9.3,0.58,85
Final Fantasy III,SquareEnix,Role-Playing (RPG),2006,E,Nintendo DS,1,51.07,0.86,77
LEGO Star Wars II: The Original Trilogy,EA,Action,2006,E,Nintendo DS,1,17.55,1.02,47
Pokmon Ranger,Nintendo,Role-Playing (RPG),2006,E,Nintendo DS,1,16.55,1.36,69
Yoshi's Island DS,Nintendo,Action,2006,E,Nintendo DS,1,9.63,1.49,81
Pokmon Diamond,Nintendo,Role-Playing (RPG),2006,E,Nintendo DS,1,101.07,6.77,85
Pokmon Pearl,Nintendo,Role-Playing (RPG),2006,E,Nintendo DS,1,101.07,6.77,85
Nervous Brickdown,,Action,2007,E,Nintendo DS,1,8,0.01,70
Front Mission,SquareEnix,Strategy,2007,E,Nintendo DS,1,20.87,0.01,72
Turn It Around,,"Racing / Driving,Sports",2007,E,Nintendo DS,1,1,0.02,39
Fantastic Four: Rise of the Silver Surfer,2K,Action,2007,E,Nintendo DS,1,7.6,0.04,35
Zendoku,Eidos,"Role-Playing (RPG),Strategy",2007,E,Nintendo DS,1,4,0.04,68
Brothers in Arms DS,Ubisoft,Action,2007,E,Nintendo DS,1,6.33,0.04,72
Ultimate Mortal Kombat 3,Midway,Action,2007,E,Nintendo DS,1,3.85,0.05,73
Myst,Midway,Adventure,2007,E,Nintendo DS,1,7.87,0.06,43
Worms: Open Warfare 2,THQ,"Action,Strategy",2007,E,Nintendo DS,1,9.12,0.07,81
MX vs. ATV Untamed,THQ,Racing / Driving,2007,E,Nintendo DS,1,12,0.11,61
Rondo of Swords,,"Role-Playing (RPG),Strategy",2007,E,Nintendo DS,1,23.23,0.15,69
Planet Puzzle League,Nintendo,Strategy,2007,E,Nintendo DS,1,0.32,0.16,86
Picross DS,Nintendo,Strategy,2007,E,Nintendo DS,1,62.43,0.17,83
Etrian Odyssey,Nintendo,Role-Playing (RPG),2007,E,Nintendo DS,1,60.82,0.19,75
Hotel Dusk: Room 215,Nintendo,Adventure,2007,E,Nintendo DS,1,15.6,0.22,78
Harry Potter and the Order of the Phoenix,EA,Action,2007,E,Nintendo DS,1,12.38,0.29,51
Wario: Master of Disguise,Nintendo,Action,2007,E,Nintendo DS,1,10.28,0.29,60
Puzzle Quest: Challenge of the Warlords,,"Role-Playing (RPG),Strategy",2007,E,Nintendo DS,1,41.17,0.3,82
Bleach: The Blade of Fate,Sega,Action,2007,E,Nintendo DS,1,18.62,0.31,83
Final Fantasy Tactics A2: Grimoire of the Rift,SquareEnix,"Role-Playing (RPG),Strategy",2007,E,Nintendo DS,1,79.47,0.36,80
Bee Movie Game,Activision,Adventure,2007,E,Nintendo DS,1,5.77,0.44,58
Spectrobes,,"Action,Strategy",2007,E,Nintendo DS,1,22.02,0.68,63
Namco Museum DS,Namco,Action,2007,E,Nintendo DS,1,10,0.8,67
Deal or No Deal,,Strategy,2007,E,Nintendo DS,1,0.98,1.1,20
Professor Layton and the Curious Village,Nintendo,"Adventure,Educational,Strategy",2007,E,Nintendo DS,1,14.42,1.26,85
Cooking Mama 2: Dinner with Friends,,Simulation,2007,E,Nintendo DS,1,8.22,1.56,70
Pokmon Mystery Dungeon: Explorers of Darkness,Nintendo,Role-Playing (RPG),2007,E,Nintendo DS,1,31.18,1.91,59
The Legend of Zelda: Phantom Hourglass,Nintendo,Action,2007,E,Nintendo DS,1,20.22,1.92,90
LEGO Star Wars: The Complete Saga,,"Action,Racing / Driving",2007,E,Nintendo DS,1,24.88,2.66,80
The Legend of Kage 2,SquareEnix,Action,2008,E,Nintendo DS,1,3.33,0.03,70
Izuna 2: The Unemployed Ninja Returns,,Role-Playing (RPG),2008,E,Nintendo DS,1,13.25,0.04,65
Zubo,EA,"Adventure,Role-Playing (RPG),Strategy",2008,E,Nintendo DS,1,15,0.05,75
The Spiderwick Chronicles,,Role-Playing (RPG),2008,E,Nintendo DS,1,5.33,0.06,60
Summon Night: Twin Age,,Role-Playing (RPG),2008,E,Nintendo DS,1,15.33,0.06,73
Lock's Quest,THQ,"Action,Adventure,Strategy",2008,E,Nintendo DS,1,14.9,0.06,80
Spider-Man: Web of Shadows,Activision,Action,2008,E,Nintendo DS,1,12.57,0.09,77
Ninja Gaiden: Dragon Sword,,Action,2008,E,Nintendo DS,1,5.3,0.16,83
Harvest Moon: Island of Happiness,,"Simulation,Strategy",2008,E,Nintendo DS,1,43,0.42,65
Advance Wars: Days of Ruin,Nintendo,Strategy,2008,E,Nintendo DS,4,33.93,0.43,86
The Legendary Starfy,Nintendo,"Action,Adventure",2008,E,Nintendo DS,1,14.25,0.5,75
Sonic Chronicles: The Dark Brotherhood,Sega,"Action,Role-Playing (RPG)",2008,E,Nintendo DS,1,22.17,0.52,74
Kung Fu Panda,Activision,Action,2008,E,Nintendo DS,1,6.7,0.56,71
The Urbz: Sims in the City,EA,Simulation,2004,M,Nintendo DS,1,21.93,0.41,67
The Rub Rabbits!,Sega,"Action,Adventure",2005,M,Nintendo DS,2,3.17,0.02,68
Fullmetal Alchemist: Dual Sympathy,,Action,2005,M,Nintendo DS,1,14,0.05,58
Lunar: Dragon Song,Ubisoft,Role-Playing (RPG),2005,M,Nintendo DS,1,25.63,0.12,59
The Sims 2,EA,"Role-Playing (RPG),Simulation",2005,M,Nintendo DS,1,55.93,0.83,70
Brain Age: Train Your Brain in Minutes a Day!,Nintendo,Action,2005,M,Nintendo DS,1,0.95,5.07,77
Point Blank DS,"Atari,Namco",Action,2006,M,Nintendo DS,1,0.9,0.04,66
Scurge: Hive,,Action,2006,M,Nintendo DS,1,10.78,0.04,70
Alex Rider: Stormbreaker,THQ,"Action,Adventure",2006,M,Nintendo DS,1,6.5,0.05,48
Monster House,THQ,Action,2006,M,Nintendo DS,1,6.67,0.15,62
Elite Beat Agents,Nintendo,Action,2006,M,Nintendo DS,1,10.27,0.27,87
Castlevania: Portrait of Ruin,Konami,Action,2006,M,Nintendo DS,1,13.13,0.3,85
Tetris DS,Nintendo,Strategy,2006,M,Nintendo DS,1,27.4,0.66,84
Mario Hoops 3 on 3,Nintendo,Sports,2006,M,Nintendo DS,1,4.25,1.03,69
Cooking Mama,,Simulation,2006,M,Nintendo DS,1,8.63,2.9,67
Ontamarama,,Action,2007,M,Nintendo DS,1,1,0.05,71
Cake Mania,,Action,2007,M,Nintendo DS,1,6,0.08,55
Draglade,,Action,2007,M,Nintendo DS,1,4.92,0.1,71
Final Fantasy Fables: Chocobo Tales,SquareEnix,Action,2007,M,Nintendo DS,1,17.2,0.1,75
Rayman Raving Rabbids,Ubisoft,Action,2007,M,Nintendo DS,1,6.7,0.12,56
Dementium: The Ward,,Action,2007,M,Nintendo DS,1,4.02,0.15,72
Tony Hawk's Proving Ground,Activision,Sports,2007,M,Nintendo DS,1,8.13,0.21,39
The World Ends With You,SquareEnix,"Action,Adventure,Role-Playing (RPG)",2007,M,Nintendo DS,1,48.67,0.37,88
Spider-Man 3,Activision,Action,2007,M,Nintendo DS,1,10.83,0.44,79
The Simpsons Game,EA,Action,2007,M,Nintendo DS,1,1.03,0.6,69
The Sims 2: Castaway,EA,Simulation,2007,M,Nintendo DS,1,8,0.66,66
Rhapsody: A Musical Adventure,,Role-Playing (RPG),2008,M,Nintendo DS,1,10.67,0.03,67
Secret Files: Tunguska,,Adventure,2008,M,Nintendo DS,1,10.08,0.03,71
"Flower, Sun and Rain",,Adventure,2008,M,Nintendo DS,1,10.15,0.04,54
Looney Tunes: Cartoon Conductor,Eidos,Action,2008,M,Nintendo DS,1,4.75,0.04,67
Nanostray 2,,Action,2008,M,Nintendo DS,1,3,0.04,75
Dungeon Explorer: Warriors of Ancient Arts,,"Action,Role-Playing (RPG)",2008,M,Nintendo DS,1,12.58,0.05,60
Bangai-O Spirits,,Action,2008,M,Nintendo DS,1,11.75,0.05,83
Code Lyoko: Fall of X.A.N.A,,"Action,Role-Playing (RPG)",2008,M,Nintendo DS,1,15.15,0.06,51
Knights in the Nightmare,,"Role-Playing (RPG),Strategy",2008,M,Nintendo DS,1,27.12,0.06,76
N+,Atari,Action,2008,M,Nintendo DS,1,17.2,0.06,82
